Length; Clients; Wait; Queries; Server works; Mean client waits
1250; 5; 250; 10; 2,489795918367347; 3,239130434782609; 
1250; 10; 250; 10; 3,1956521739130435; 3,7142857142857144; 
1250; 15; 250; 10; 2,9635036496350367; 4,360294117647059; 
1250; 20; 250; 10; 3,022099447513812; 5,209944751381215; 
1250; 25; 250; 10; 2,806167400881057; 4,991150442477876; 
1250; 30; 250; 10; 2,735294117647059; 5,173431734317343; 
1250; 35; 250; 10; 2,761006289308176; 5,389240506329114; 
1250; 40; 250; 10; 2,6814404432132966; 6,044321329639889; 
1250; 45; 250; 10; 2,6798029556650245; 5,83743842364532; 
1250; 50; 250; 10; 2,610869565217391; 4,235033259423504; 
1250; 55; 250; 10; 2,651911468812877; 6,663306451612903; 
1250; 60; 250; 10; 2,700554528650647; 6,053604436229205; 
1250; 65; 250; 10; 2,6177474402730376; 6,57679180887372; 
1250; 70; 250; 10; 2,593996840442338; 4,835182250396197; 
1250; 75; 250; 10; 2,578102189781022; 6,372781065088757; 
1250; 80; 250; 10; 2,6329639889196677; 5,966712898751734; 
1250; 85; 250; 10; 2,6263020833333335; 7,018276762402089; 
