Length; Clients; Wait; Queries; Server works; Mean client waits
1250; 5; 250; 10; 2,68; 3,4782608695652173; 
1250; 10; 250; 10; 3,305263157894737; 4,241758241758242; 
1250; 15; 250; 10; 2,832116788321168; 4,169117647058823; 
1250; 20; 250; 10; 2,78021978021978; 4,668508287292818; 
1250; 25; 250; 10; 2,73568281938326; 4,34070796460177; 
1250; 30; 250; 10; 2,738970588235294; 5,273062730627307; 
1250; 35; 250; 10; 2,75; 5,680379746835443; 
1250; 40; 250; 10; 2,677685950413223; 4,676795580110498; 
1250; 45; 250; 10; 2,678132678132678; 4,655172413793103; 
1250; 50; 250; 10; 2,6349557522123894; 4,800443458980045; 
1250; 55; 250; 10; 2,6277665995975856; 5,308467741935484; 
1250; 60; 250; 10; 2,3837638376383765; 4,138632162661738; 
1250; 65; 250; 10; 2,6928327645051193; 7,6058020477815695; 
1250; 70; 250; 10; 2,625; 5,990491283676704; 
1250; 75; 250; 10; 2,5642540620384047; 5,822485207100592; 
1250; 80; 250; 10; 2,5436893203883497; 5,08876560332871; 
1250; 85; 250; 10; 2,5397653194263365; 6,8433420365535245; 
