Length; Clients; Wait; Queries; Server works; Mean client waits
800; 20; 250; 10; 1,2606382978723405; 3,4806629834254146; 
1000; 20; 250; 10; 1,7934782608695652; 3,3922651933701657; 
1200; 20; 250; 10; 2,7637362637362637; 4,403314917127072; 
1400; 20; 250; 10; 3,241758241758242; 4,602209944751381; 
1600; 20; 250; 10; 4,30939226519337; 6,3535911602209945; 
1800; 20; 250; 10; 4,869565217391305; 6,171270718232044; 
2000; 20; 250; 10; 6,038461538461538; 7,3646408839779; 
2200; 20; 250; 10; 6,604395604395604; 7,292817679558011; 
2400; 20; 250; 10; 8,277173913043478; 11,359116022099448; 
2600; 20; 250; 10; 9,69060773480663; 10,977900552486188; 
2800; 20; 250; 10; 12,032967032967033; 18,54696132596685; 
3000; 20; 250; 10; 14,154696132596685; 20,845303867403317; 
