Length; Clients; Wait; Queries; Server works; Mean client waits
800; 20; 250; 10; 3,5082872928176796; 10,41988950276243; 
1000; 20; 250; 10; 2,016304347826087; 4,337016574585635; 
1200; 20; 250; 10; 2,516304347826087; 3,8232044198895028; 
1400; 20; 250; 10; 3,5359116022099446; 5,259668508287293; 
1600; 20; 250; 10; 4,225274725274725; 7,259668508287293; 
1800; 20; 250; 10; 5,346153846153846; 8,668508287292818; 
2000; 20; 250; 10; 5,829670329670329; 8,116022099447514; 
2200; 20; 250; 10; 7,718232044198895; 10,397790055248619; 
2400; 20; 250; 10; 9,252747252747254; 12,917127071823204; 
2600; 20; 250; 10; 10,972375690607734; 13,972375690607734; 
2800; 20; 250; 10; 12,337016574585636; 19,2707182320442; 
3000; 20; 250; 10; 13,56353591160221; 18,45303867403315; 
