Length; Clients; Wait; Queries; Server works; Mean client waits
800; 20; 250; 10; 1,233160621761658; 3,298342541436464; 
1000; 20; 250; 10; 1,815217391304348; 3,3977900552486187; 
1200; 20; 250; 10; 2,5549450549450547; 5,082872928176796; 
1400; 20; 250; 10; 3,1311475409836067; 4,668508287292818; 
1600; 20; 250; 10; 4,640883977900552; 7,988950276243094; 
1800; 20; 250; 10; 4,697297297297298; 6,856353591160221; 
2000; 20; 250; 10; 6,712707182320442; 10,453038674033149; 
2200; 20; 250; 10; 7,535911602209945; 12,066298342541437; 
2400; 20; 250; 10; 8,900552486187845; 14,033149171270718; 
2600; 20; 250; 10; 10,505494505494505; 16,773480662983424; 
2800; 20; 250; 10; 11,922651933701658; 16,022099447513813; 
3000; 20; 250; 10; 13,790055248618785; 20,43646408839779; 
