Length; Clients; Wait; Queries; Server works; Mean client waits
1250; 20; 5; 10; 2,225988700564972; 2,9887005649717513; 
1250; 20; 30; 10; 2,881081081081081; 4,348066298342541; 
1250; 20; 55; 10; 2,7679558011049723; 4,480662983425415; 
1250; 20; 80; 10; 2,7472527472527473; 4,734806629834254; 
1250; 20; 105; 10; 2,7900552486187844; 4,298342541436464; 
1250; 20; 130; 10; 3,230769230769231; 3,8066298342541436; 
1250; 20; 155; 10; 2,8846153846153846; 4,580110497237569; 
1250; 20; 180; 10; 3,0494505494505493; 4,795580110497237; 
1250; 20; 205; 10; 3,18232044198895; 3,867403314917127; 
1250; 20; 230; 10; 2,879120879120879; 5,038674033149171; 
1250; 20; 255; 10; 2,9668508287292816; 5,171270718232044; 
1250; 20; 280; 10; 2,8516483516483517; 5,232044198895028; 
1250; 20; 305; 10; 2,769230769230769; 3,9613259668508287; 
1250; 20; 330; 10; 3,0054945054945055; 5,259668508287293; 
1250; 20; 355; 10; 2,9668508287292816; 5,149171270718232; 
1250; 20; 380; 10; 2,681318681318681; 4,906077348066298; 
1250; 20; 405; 10; 2,818681318681319; 4,994475138121547; 
1250; 20; 430; 10; 2,8743169398907105; 4,430939226519337; 
1250; 20; 455; 10; 3,0; 4,994475138121547; 
1250; 20; 480; 10; 2,856353591160221; 5,011049723756906; 
