Length; Clients; Wait; Queries; Server works; Mean client waits
1250; 20; 5; 10; 2,196629213483146; 3,074712643678161; 
1250; 20; 30; 10; 2,8579234972677594; 4,845303867403315; 
1250; 20; 55; 10; 2,983695652173913; 5,320441988950276; 
1250; 20; 80; 10; 2,7362637362637363; 3,834254143646409; 
1250; 20; 105; 10; 2,946524064171123; 4,707182320441989; 
1250; 20; 130; 10; 2,9285714285714284; 5,342541436464089; 
1250; 20; 155; 10; 3,0607734806629834; 5,1878453038674035; 
1250; 20; 180; 10; 3,010928961748634; 5,016574585635359; 
1250; 20; 205; 10; 2,741758241758242; 4,2707182320441985; 
1250; 20; 230; 10; 2,983425414364641; 3,7900552486187844; 
1250; 20; 255; 10; 3,142857142857143; 5,121546961325967; 
1250; 20; 280; 10; 3,142857142857143; 4,994475138121547; 
1250; 20; 305; 10; 2,5297297297297296; 2,9889502762430937; 
1250; 20; 330; 10; 3,0274725274725274; 5,541436464088398; 
1250; 20; 355; 10; 2,923076923076923; 4,530386740331492; 
1250; 20; 380; 10; 3,1215469613259668; 4,419889502762431; 
1250; 20; 405; 10; 3,0164835164835164; 5,403314917127072; 
1250; 20; 430; 10; 3,131868131868132; 5,05524861878453; 
1250; 20; 455; 10; 2,9505494505494507; 4,430939226519337; 
1250; 20; 480; 10; 2,7967032967032965; 4,220994475138122; 
