Length; Clients; Wait; Queries; Server works; Mean client waits
1250; 20; 5; 10; 2,3707865168539324; 3,1638418079096047; 
1250; 20; 30; 10; 2,8287292817679557; 4,348066298342541; 
1250; 20; 55; 10; 2,8846153846153846; 4,535911602209945; 
1250; 20; 80; 10; 3,0274725274725274; 5,232044198895028; 
1250; 20; 105; 10; 3,010989010989011; 4,519337016574585; 
1250; 20; 130; 10; 2,912087912087912; 4,988950276243094; 
1250; 20; 155; 10; 3,0384615384615383; 4,988950276243094; 
1250; 20; 180; 10; 3,0497237569060776; 5,524861878453039; 
1250; 20; 205; 10; 2,9502762430939224; 5,2154696132596685; 
1250; 20; 230; 10; 3,0494505494505493; 4,895027624309392; 
1250; 20; 255; 10; 3,0384615384615383; 5,386740331491713; 
1250; 20; 280; 10; 3,032967032967033; 5,237569060773481; 
1250; 20; 305; 10; 3,0386740331491713; 4,867403314917127; 
1250; 20; 330; 10; 2,989010989010989; 5,154696132596685; 
1250; 20; 355; 10; 2,9889502762430937; 5,093922651933702; 
1250; 20; 380; 10; 2,978142076502732; 4,723756906077348; 
1250; 20; 405; 10; 2,8241758241758244; 4,0220994475138125; 
1250; 20; 430; 10; 2,8461538461538463; 5,232044198895028; 
1250; 20; 455; 10; 2,9005524861878453; 4,81767955801105; 
1250; 20; 480; 10; 3,065934065934066; 5,287292817679558; 
